, 距离（米） ,showName,建成年代,楼栋数, 总户数 , 成交均价（元） , 在售均价（元） ,在售套数,纬度,经度,详情页链接,地图链接,rentTotal,1室房租均价
5011000002686," 4,681 ",春意苑,2002.0,28.0, 398 ," 58,078 "," 59,506 ",8.0,31.134272,121.392451,http://m.sh.lianjia.com/xiaoqu/5011000002686.html,"http://m.sh.lianjia.com/map/pos?pos=121.392451,31.134272",7.0,
5011000002744," 4,003 ",万科凭栏苑,2003.0,16.0, 128 ," 42,532 "," 68,405 ",5.0,31.165385,121.343397,http://m.sh.lianjia.com/xiaoqu/5011000002744.html,"http://m.sh.lianjia.com/map/pos?pos=121.343397,31.165385",,
5011000002781, 400 ,新东苑国际酒店式公寓,2005.0,1.0, 144 , -   ," 71,161 ",3.0,31.174758,121.379649,http://m.sh.lianjia.com/xiaoqu/5011000002781.html,"http://m.sh.lianjia.com/map/pos?pos=121.379649,31.174758",1.0,
5011000002794," 1,334 ",航华四村,1999.0,138.0," 2,436 "," 47,156 "," 52,162 ",28.0,31.177238,121.365763,http://m.sh.lianjia.com/xiaoqu/5011000002794.html,"http://m.sh.lianjia.com/map/pos?pos=121.365763,31.177238",9.0,
5011000002816," 2,890 ",哈密路1332弄,1999.0,5.0, 66 , -   ," 60,902 ",3.0,31.20649568,121.3723195,http://m.sh.lianjia.com/xiaoqu/5011000002816.html,"http://m.sh.lianjia.com/map/pos?pos=121.3723195,31.20649568",,
5011000002899, 577 ,锦绣江南（五期）（公寓）,2011.0,4.0, 72 ," 74,834 "," 84,827 ",2.0,31.173262,121.375202,http://m.sh.lianjia.com/xiaoqu/5011000002899.html,"http://m.sh.lianjia.com/map/pos?pos=121.375202,31.173262",2.0,
5011000002907," 5,208 ",东苑佳佳花园,1998.0,58.0, 698 ," 49,973 "," 56,389 ",9.0,31.13115228,121.3980697,http://m.sh.lianjia.com/xiaoqu/5011000002907.html,"http://m.sh.lianjia.com/map/pos?pos=121.3980697,31.13115228",17.0,
5011000002911," 3,827 ",平阳一村,1999.0,54.0, 648 ," 51,953 "," 55,172 ",11.0,31.141668,121.38811,http://m.sh.lianjia.com/xiaoqu/5011000002911.html,"http://m.sh.lianjia.com/map/pos?pos=121.38811,31.141668",11.0,
5011000002945," 4,402 ",新都名园,2010.0,26.0, 667 ," 51,722 "," 67,638 ",3.0,31.16101794,121.3410291,http://m.sh.lianjia.com/xiaoqu/5011000002945.html,"http://m.sh.lianjia.com/map/pos?pos=121.3410291,31.16101794",13.0,
5011000003030," 4,451 ",航天公寓,2010.0,12.0, 352 ," 42,699 "," 84,730 ",3.0,31.186239,121.417663,http://m.sh.lianjia.com/xiaoqu/5011000003030.html,"http://m.sh.lianjia.com/map/pos?pos=121.417663,31.186239",,
5011000003062," 5,995 ",万航渡路2550号,1987.0,1.0, 25 , -   ," 76,702 ",2.0,31.22478913,121.4122082,http://m.sh.lianjia.com/xiaoqu/5011000003062.html,"http://m.sh.lianjia.com/map/pos?pos=121.4122082,31.22478913",,
5011000003077," 3,545 ",皇都花园（别墅）,2003.0,54.0, 54 , -   ," 78,559 ",2.0,31.142948,121.374873,http://m.sh.lianjia.com/xiaoqu/5011000003077.html,"http://m.sh.lianjia.com/map/pos?pos=121.374873,31.142948",,
5011000003104, 959 ,大上海国际花园（十三区）（公寓）,1999.0,5.0, 40 ," 49,784 "," 63,447 ",1.0,31.170183,121.382582,http://m.sh.lianjia.com/xiaoqu/5011000003104.html,"http://m.sh.lianjia.com/map/pos?pos=121.382582,31.170183",,
5011000003106," 1,093 ",金汇福邸,2003.0,12.0, 235 ," 53,923 "," 64,588 ",3.0,31.188986,121.376025,http://m.sh.lianjia.com/xiaoqu/5011000003106.html,"http://m.sh.lianjia.com/map/pos?pos=121.376025,31.188986",5.0,
5011000003124," 2,977 ",平南三四村,1996.0,139.0," 1,815 "," 60,376 "," 65,754 ",24.0,31.159085,121.398567,http://m.sh.lianjia.com/xiaoqu/5011000003124.html,"http://m.sh.lianjia.com/map/pos?pos=121.398567,31.159085",31.0,
5011000003176," 3,459 ",虹旭二小区,1995.0,20.0, 225 ," 51,560 "," 70,729 ",4.0,31.20923309,121.3918147,http://m.sh.lianjia.com/xiaoqu/5011000003176.html,"http://m.sh.lianjia.com/map/pos?pos=121.3918147,31.20923309",1.0,
5011000003187," 2,543 ",景丽苑,1998.0,25.0, 300 ," 39,651 "," 51,739 ",2.0,31.1756048,121.3548607,http://m.sh.lianjia.com/xiaoqu/5011000003187.html,"http://m.sh.lianjia.com/map/pos?pos=121.3548607,31.1756048",,
5011000003287, 604 ,和兴龙柏公寓,1997.0,3.0, 42 ," 34,926 "," 54,980 ",1.0,31.182638,121.374091,http://m.sh.lianjia.com/xiaoqu/5011000003287.html,"http://m.sh.lianjia.com/map/pos?pos=121.374091,31.182638",,
5011000003295," 3,573 ",东苑半岛花园（别墅）,2003.0,48.0, 48 ," 58,611 "," 86,462 ",1.0,31.145133,121.390075,http://m.sh.lianjia.com/xiaoqu/5011000003295.html,"http://m.sh.lianjia.com/map/pos?pos=121.390075,31.145133",,
5011000003307," 3,938 ",碧林湾南苑（华友路260弄）,2004.0,25.0, 503 ," 57,971 "," 55,758 ",4.0,31.142494,121.362841,http://m.sh.lianjia.com/xiaoqu/5011000003307.html,"http://m.sh.lianjia.com/map/pos?pos=121.362841,31.142494",12.0,
5011000003360," 4,768 ",新泾六村,1997.0,57.0," 1,107 "," 57,676 "," 64,101 ",7.0,31.22564443,121.3731561,http://m.sh.lianjia.com/xiaoqu/5011000003360.html,"http://m.sh.lianjia.com/map/pos?pos=121.3731561,31.22564443",7.0,
